transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,original_transaction_id,currency,notes_suspicious
T11066,U031,2020-12-13,Expense,,367.0,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf,T11066,INR,True
T01016,U041,2019-01-12,Expense,Others,517.0,Cash,Kolkata,Doctor visit,T01016,INR,False
T06997,U075,2019-10-02,Expense,Food,3186.0,Bank Transfer,Chennai,Grocery shopping,T06997,INR,False
T02973,U129,,Expense,Food,141.0,Bank Transfer,Bengaluru,Paid electricity bill,T02973,INR,False
T03039,U141,2019-10-24,Expense,Travel,266.0,Bank Transfer,Lucknow,Doctor visit,T03039,INR,False
T14348,U166,2021-12-02,Expense,Food,996.0,UPI,Bengaluru,Paid electricity bill late,T14348,INR,False
T11938,U090,2021-10-09,Expense,Others,1901.0,,Chennai,,T11938,INR,False
T07615,U038,2019-10-05,Expense,Rent,186.0,UPI,Ahmedabad,Monthly rent,T07615,USD,False
T06608,U163,2019-03-06,Expense,Rent,216.0,Card,mumbai,zQQvRHrCGH,T06608,INR,False
T07654,U175,2020-11-02,Expense,Others,196.0,Bank Transfer,Hyderabad,Course fee cash,T07654,INR,False
T01611,U019,2020-08-23,Expense,Rent,1015.0,UPI,Ahmedabad,Salary cash,T01611,INR,False
T01335,U113,2019-07-17,Income,Bonus,46491.0,UPI,Delhi,Gift,T01335,INR,False
T07445,U075,2022-06-16,Expense,Food,4048.0,Bank Transfer,,Monthly rent,T07445,INR,False
T10705,U035,2022-05-24,Income,Other Income,32770.0,Bank Transfer,Pune,Dinner at resto,T10705,INR,False
T11761,U093,2019-11-10,Expense,Entertainment,2951.0,Cash,Pune,Uber to office,T11761,INR,False
T11949,U127,2022-02-14,Expense,Food,56.0,Bank Transfer,Bengaluru,Grocery shopping,T11949,INR,False
T00222,U014,2022-07-04,Expense,Travel,745.0,Cash,Delhi,Uber to office via app,T00222,INR,False
T08940,U062,2021-02-01,Income,Salary,52826.0,Card,Mumbai,Paid electricity bill ,T08940,INR,False
T03286,U119,2020-03-27,Expense,Savings,408.0,Card,Chennai,Paid electricity bill cash,T03286,INR,False
T13097,U067,2019-09-27,Expense,Rent,1237.0,Card,Mumbai,Gift cash,T13097,INR,False
T12188,U005,2022-04-19,Expense,Entertainment,,Bank Transfer,Kolkata,Monthly rent cash,T12188,,False
T01970,U044,2022-10-04,Expense,Rent,1530.0,Card,Hyderabad,Netflix subscription,T01970,INR,False
T01399,U076,2019-06-01,Expense,Travel,200.0,UPI,Delhi,Grocery shopping late,T01399,INR,False
T08098,U049,2019-06-29,Expense,Travel,183.0,Cash,Ahmedabad,Salary,T08098,INR,False
T02085,U176,2022-03-14,Expense,Food,333.0,Bank Transfer,bengaluru,Doctor visit ,T02085,INR,False
T01842,U161,2021-10-13,Expense,Food,1275.0,Card,Kolkata,Gift ,T01842,INR,False
T11562,U140,2020-06-04,Expense,Entertainment,1769.0,Cash,jaipur,Paid electricity bill ,T11562,INR,False
T07877,U032,2022-07-21,Expense,Travel,100.0,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql,T07877,INR,False
T03340,U107,2020-12-27,Expense,Rent,814.0,Card,delhi,Gift,T03340,INR,False
T14028,U175,2021-04-07,Expense,Utilities,208.0,Cash,Mumbai,Salary via app,T14028,INR,False
T03872,U051,2021-12-22,Expense,Education,113.0,UPI,Bengaluru,Grocery shopping,T03872,INR,False
T03916,U086,2020-12-24,Expense,Rent,44.0,Cash,Kolkata,Gift,T03916,INR,False
T14446,U136,2022-03-24,Expense,Rent,219.0,Card,Mumbai,Course fee,T14446,INR,False
T09919,U177,2019-01-07,Income,Salary,52861.0,UPI,Kolkata,Course fee,T09919,INR,False
T02778,U103,2020-09-20,Expense,Food,33.0,Cash,Jaipur,Monthly rent,T02778,INR,False
T03163,U022,2020-10-04,Expense,Entertainment,418.0,Bank Transfer,Ahmedabad,Paid electricity bill,T03163,INR,False
T02942,U003,2021-10-30,Expense,Savings,184.0,UPI,Pune,sboT5a6RW,T02942,INR,False
T04791,U112,2020-08-03,Income,Other Income,68894.0,Bank Transfer,Hyderabad,Salary ,T04791,INR,False
T02335,U052,2019-04-22,Expense,Savings,2849.0,UPI,,Uber to office,T02335,INR,False
T09490,U109,2022-05-28,Expense,Food,55.0,Cash,Hyderabad,Uber to office,T09490,INR,False
T07421,U093,2021-02-18,Expense,Others,373.0,Cash,Jaipur,Netflix subscription via app,T07421,INR,False
T06200,U001,2020-08-24,Expense,Rent,201.0,Bank Transfer,Pune,,T06200,INR,False
T04759,U144,2022-09-10,Expense,Savings,8360.0,Bank Transfer,Lucknow,Dinner at resto via app,T04759,INR,False
T11740,U083,2021-05-20,Expense,Food,1766.0,Cash,Chennai,Grocery shopping,T11740,INR,False
T08870,U077,2021-07-20,Expense,Travel,411.0,Bank Transfer,Ahmedabad,Paid electricity bill late,T08870,INR,False
T14621,U063,2020-02-22,Expense,Rent,20.0,Card,Mumbai,kU9tfLsTrc,T14621,INR,False
T14576,U106,2019-10-28,Expense,Rent,78.0,Card,Ahmedabad,Netflix subscription,T14576,INR,False
T09583,U118,2019-12-11,Expense,Rent,720.0,Cash,Bengaluru,Grocery shopping,T09583,INR,False
T12697,U165,2021-09-09,Expense,Others,1067.0,UPI,Hyderabad,Netflix subscription cash,T12697,INR,False
T00428,U041,2020-06-29,Expense,Food,693.0,Bank Transfer,Hyderabad,Doctor visit,T00428,INR,False
T13693,U161,2021-02-15,Expense,Travel,641.0,Card,Delhi,Paid electricity bill,T13693,INR,False
T03728,U066,2022-07-06,Expense,Utilities,389.0,UPI,Bengaluru,,T03728,INR,False
T08570,U087,2020-09-03,Expense,Food,556.0,Card,Lucknow,Salary cash,T08570,INR,False
T14413,U181,2022-10-05,Income,Salary,60559.0,UPI,Jaipur,Grocery shopping late,T14413,INR,False
T00734,U019,2021-10-04,Expense,Health,57.0,Bank Transfer,Mumbai,Doctor visit,T00734,INR,False
T03776,U048,2020-05-09,Expense,Food,641.0,Card,Bengaluru,CoBzaIzlT,T03776,INR,False
T02361,U087,2022-06-24,Expense,Travel,564.0,UPI,Delhi,Doctor visit late,T02361,INR,False
T11868,U053,2019-04-29,Expense,Rent,1229.0,Cash,pune,Grocery shopping ,T11868,INR,False
T13423,U102,2021-06-12,Expense,,435.0,Cash,Hyderabad,Gift,T13423,INR,False
T08941,U071,2019-08-02,Expense,Food,189.0,UPI,Ahmedabad,Netflix subscription,T08941,INR,False
T12761,U005,2021-01-31,Expense,Entertainment,37.0,Bank Transfer,JAIPUR,Gift,T12761,INR,False
T00663,U169,2020-11-16,Expense,Travel,175.0,Card,Delhi,Salary,T00663,INR,False
T05581,U170,2021-11-11,Expense,Food,2183.0,UPI,Hyderabad,Salary cash,T05581,INR,False
T04057,U147,2021-05-29,Expense,Rent,705.0,Cash,Bengaluru,Salary,T04057,INR,False
T06229,U175,2019-07-01,Expense,Travel,404.0,Bank Transfer,Pune,Course fee,T06229,INR,False
T13394,U134,2019-04-02,Income,Bonus,45883.0,Card,Mumbai,Course fee cash,T13394,INR,False
T04446,U111,2022-05-26,Expense,Food,40.0,Cash,Pune,Monthly rent cash,T04446,INR,False
T11310,U028,2021-08-29,Income,Salary,69360.0,Bank Transfer,Mumbai,Gift cash,T11310,INR,False
T11529,U033,2021-03-01,Expense,Food,227.0,Cash,Bengaluru,Netflix subscription late,T11529,INR,False
T13813,U143,2021-09-12,Expense,Food,757.0,UPI,Kolkata,16wmjUjz,T13813,INR,False
T00554,U005,2019-01-23,Expense,Food,81.0,Card,Ahmedabad,Netflix subscription,T00554,INR,False
T14182,U082,2021-06-11,Expense,Food,196.0,Bank Transfer,Jaipur,Monthly rent,T14182,INR,False
T05044,U160,2021-06-25,Income,Bonus,53159.0,Cash,Lucknow,,T05044,INR,False
T05971,U148,2021-05-28,Expense,Travel,86.0,UPI,Lucknow,Monthly rent,T05971,INR,False
T10626,U049,2021-04-21,Expense,Rent,641.0,Cash,bengaluru,Salary,T10626,INR,False
T05376,U053,2019-10-14,Expense,Rent,143.0,Bank Transfer,Kolkata,Netflix subscription via app,T05376,INR,False
T03003-1,U095,2020-04-21,Expense,Savings,2035.0,Card,Chennai,Salary,T03003,INR,False
T06854,U074,2021-03-18,Expense,Rent,51.0,Cash,Pune,zldFyXXwJ,T06854,INR,False
T01355,U095,2019-10-15,Expense,Rent,1766.0,Cash,Delhi,,T01355,INR,False
T00101,U177,2021-06-13,Expense,Food,575.0,Bank Transfer,Jaipur,Netflix subscription,T00101,INR,False
T11581,U112,2022-08-17,Expense,Rent,123.0,Card,,Netflix subscription cash,T11581,USD,False
T07843,U067,2021-01-16,Expense,Health,195.0,Bank Transfer,Hyderabad,Salary,T07843,INR,False
T07405,U080,2020-01-17,Expense,Food,587.0,Card,Bengaluru,LDRxleWusbe7ZvYa,T07405,INR,True
T06736,U061,2020-10-14,Expense,Rent,555.0,UPI,,Dinner at resto,T06736,INR,False
T07517,U005,2020-11-05,Expense,Rent,61.0,UPI,Hyderabad,Doctor visit,T07517,INR,False
T06119-1,U147,2019-06-28,Expense,Utilities,824.0,Cash,Pune,Dinner at resto,T06119,INR,False
T00904,U189,2019-03-06,Expense,Savings,443.0,Bank Transfer,Delhi,Dinner at resto cash,T00904,INR,False
T08456,U076,2022-10-04,Expense,Food,225.0,Cash,Chennai,Paid electricity bill,T08456,INR,False
T14290,U066,2020-07-12,Income,Bonus,63456.0,UPI,Bengaluru,,T14290,INR,False
T13075,U077,2020-04-30,Expense,Rent,326.0,Card,Ahmedabad,Dinner at resto ,T13075,INR,False
T03061,U087,2019-10-29,Expense,Rent,1881.0,Card,Lucknow,Course fee,T03061,INR,False
T11432,U159,2022-09-07,Expense,Travel,111.0,Bank Transfer,Delhi,1yv2UgqhuT,T11432,INR,False
T04560,U020,2022-01-24,Expense,Travel,5172.0,Bank Transfer,Mumbai,Course fee,T04560,INR,False
T02114-1,U189,2021-06-20,Expense,Travel,1703.0,Cash,Lucknow,Doctor visit via app,T02114,USD,False
T12679,U181,2021-11-03,Income,Other Income,58619.0,UPI,Mumbai,,T12679,INR,False
T14712,U016,2021-04-08,Expense,Savings,1711.0,Card,Pune,Uber to office via app,T14712,INR,False
T06760,U051,2019-11-23,Income,Other Income,45038.0,Bank Transfer,Ahmedabad,Doctor visit,T06760,INR,False
T10248,U108,2019-06-26,Expense,Entertainment,1050.0,Cash,Hyderabad,Uber to office,T10248,INR,False
T13425,U023,2019-03-13,Expense,Travel,617.0,Cash,Ahmedabad,Course fee ,T13425,INR,False
T05533,U026,2021-06-24,Expense,Travel,45.0,Cash,Delhi,,T05533,INR,False
T07945,U058,2022-12-20,Expense,Rent,104.0,Cash,hyderabad,Uber to office,T07945,INR,False
T13942,U013,2021-05-14,Expense,Food,2421.0,Card,JAIPUR,,T13942,INR,False
T14822,U185,2020-09-01,Income,Other Income,69193.0,Cash,Delhi,Dinner at resto ,T14822,INR,False
T06956-1,U074,2020-11-17,Expense,Education,143.0,Bank Transfer,Bengaluru,,T06956,INR,False
T11139,U088,2021-03-17,Expense,Rent,959.0,Bank Transfer,,Salary,T11139,INR,False
T11916,U163,2019-12-03,Income,Salary,41560.0,Cash,Lucknow,Doctor visit late,T11916,INR,False
T08529,U168,2019-05-29,Expense,Rent,77.0,UPI,,Monthly rent,T08529,INR,False
T14294,U155,2022-02-09,Expense,Travel,1175.0,Bank Transfer,Mumbai,Gift,T14294,INR,False
T12514,U093,2020-11-01,Expense,Utilities,85.0,Bank Transfer,Chennai,Uber to office ,T12514,INR,False
T09379,U117,2021-04-29,Expense,Rent,232.0,,Bengaluru,Uber to office,T09379,INR,False
T14731,U026,2021-11-02,Expense,Food,1588.0,Card,Chennai,Uber to office via app,T14731,INR,False
T13317,U027,,Expense,Rent,205.0,Bank Transfer,Kolkata,Dinner at resto,T13317,INR,False
T06479,U152,2021-04-14,Expense,Travel,374.0,UPI,Pune,Netflix subscription,T06479,INR,False
T05787,U014,2022-10-22,Expense,Food,263.0,UPI,Jaipur,Gift via app,T05787,INR,False
T09733,U191,2021-01-30,Expense,Entertainment,757.0,Card,Pune,Gift late,T09733,INR,False
T02638,U040,2021-01-17,Expense,Rent,50.0,UPI,Mumbai,Grocery shopping ,T02638,INR,False
T06460,U061,2021-12-11,Income,Bonus,43834.0,Cash,Delhi,Gift cash,T06460,INR,False
T02527,U099,2020-10-11,Expense,Utilities,472.0,Cash,Lucknow,Uber to office cash,T02527,INR,False
T10439,U135,2021-01-22,Income,Salary,49691.0,UPI,Pune,Salary via app,T10439,INR,False
T12034,U100,2020-07-25,Expense,Travel,1413.0,Card,delhi,nqj5djeLfknN4JU,T12034,INR,True
T14582,U014,2021-10-09,Expense,Education,207.0,Card,Hyderabad,Netflix subscription,T14582,INR,False
T03605,U090,2022-08-04,Expense,Entertainment,923.0,Cash,Bengaluru,Course fee ,T03605,INR,False
T03072,U131,2020-12-24,Expense,Utilities,157.0,Bank Transfer,Kolkata,4qk8NxcvcHAcxzQrBB,T03072,INR,True
T08208,U185,2019-01-30,Expense,Savings,2425.0,Cash,Mumbai,Monthly rent,T08208,INR,False
T02374,U089,2020-06-02,Expense,Rent,106.0,UPI,Pune,Doctor visit,T02374,INR,False
T05338,U050,2021-07-29,Expense,Food,406.0,Card,Kolkata,,T05338,USD,False
T06327,U060,2020-09-26,Expense,Food,264.0,Bank Transfer,Kolkata,lPujru8v5kb9vKPv,T06327,INR,True
T13510,U070,2022-07-21,Expense,Utilities,133.0,UPI,Mumbai,Uber to office ,T13510,INR,False
T10985,U114,2021-11-03,Expense,Savings,747.0,Cash,Mumbai,Uber to office,T10985,INR,False
T00159,U152,2022-11-15,Expense,Others,914.0,Cash,Mumbai,,T00159,INR,False
T08980,U025,2021-11-12,Income,Bonus,68420.0,Bank Transfer,Delhi,Uber to office,T08980,INR,False
T07670,U084,2021-05-15,Expense,Travel,348.0,UPI,Pune,Paid electricity bill,T07670,INR,False
T11084,U053,2019-01-11,Income,Bonus,57190.0,UPI,Jaipur,Salary ,T11084,INR,False
T11154,U031,2020-03-23,Expense,Food,568.0,Bank Transfer,,Dinner at resto ,T11154,INR,False
T06945,U077,2022-10-18,Expense,Travel,125.0,Bank Transfer,mumbai,Paid electricity bill late,T06945,INR,False
T11314,U124,2019-05-30,Expense,Others,726.0,UPI,Chennai,Salary,T11314,INR,False
T01430,U121,2020-04-29,Expense,Food,301.0,UPI,Kolkata,Paid electricity bill cash,T01430,INR,False
T02530,U164,2020-10-19,Income,Salary,39615.0,UPI,Bengaluru,Paid electricity bill,T02530,INR,False
T10146,U042,2019-06-05,Expense,Health,324.0,Bank Transfer,Kolkata,Uber to office ,T10146,INR,False
T07377,U064,2020-12-08,Expense,Rent,1789.0,Card,Hyderabad,iU4GRmkU,T07377,INR,False
T08343,U113,2020-12-24,Expense,Food,,Card,Kolkata,Course fee late,T08343,,False
T10891,U143,2021-11-07,Expense,Rent,61.0,Card,Mumbai,RQEpVsCm,T10891,INR,False
T05368,U170,2021-01-16,Expense,Food,64.0,Cash,Delhi,Monthly rent ,T05368,INR,False
T09121,U146,2022-03-15,Income,Salary,66226.0,Bank Transfer,Pune,Paid electricity bill cash,T09121,INR,False
T02141,U084,2022-11-17,Expense,Food,114.0,Card,Jaipur,Paid electricity bill,T02141,INR,False
T13464,U179,2021-01-05,Expense,Travel,97.0,UPI,Lucknow,Netflix subscription,T13464,INR,False
T02339,U157,2022-07-24,Expense,Food,323.0,UPI,Mumbai,Salary cash,T02339,INR,False
T06675,U117,2019-06-03,Expense,Utilities,246.0,Cash,Ahmedabad,Dinner at resto,T06675,INR,False
T02186,U190,2019-02-03,Income,Other Income,59622.0,Card,Kolkata,Uber to office,T02186,INR,False
T04574,U033,2020-10-07,Expense,Utilities,965.0,Bank Transfer,Ahmedabad,Gift via app,T04574,INR,False
T08561,U112,2022-03-14,Expense,Rent,116.0,Card,Jaipur,Netflix subscription,T08561,INR,False
T05331,U115,2019-04-03,Expense,Food,1372.0,Cash,Bengaluru,Monthly rent,T05331,INR,False
T06662,U174,2019-01-23,Expense,Travel,142.0,Cash,Jaipur,Netflix subscription,T06662,INR,False
T13401,U026,2019-11-04,Expense,Entertainment,83.0,Bank Transfer,mumbai,Course fee,T13401,INR,False
T14142,U180,2020-05-05,Expense,Food,231.0,UPI,Delhi,Netflix subscription cash,T14142,INR,False
T13459,U102,2019-06-15,Expense,Utilities,485.0,Bank Transfer,Pune,,T13459,INR,False
T12022,U057,2020-10-12,Expense,Savings,3866.0,Bank Transfer,Chennai,,T12022,INR,False
T00209,U064,2019-01-23,Income,Bonus,63751.0,Cash,Bengaluru,Salary via app,T00209,USD,False
T14671,U023,2019-02-11,Expense,Food,1789.0,UPI,Chennai,CTahRXPpt1r,T14671,INR,False
T07051,U041,2020-03-26,Income,Salary,75840.0,Card,,Dinner at resto via app,T07051,INR,False
T01429,U085,2022-01-10,Expense,Rent,69.0,UPI,Delhi,Grocery shopping ,T01429,INR,False
T00757,U022,2021-12-15,Expense,Travel,4679.0,Bank Transfer,Delhi,Doctor visit cash,T00757,INR,False
T10510,U019,2020-08-27,Expense,Travel,791.0,UPI,Chennai,,T10510,INR,False
T14667,U108,2020-02-11,Expense,Food,259.0,UPI,,Doctor visit cash,T14667,INR,False
T02915,U139,2022-11-01,Expense,Others,843.0,UPI,Kolkata,Paid electricity bill,T02915,INR,False
T06420,U054,2021-08-03,Expense,Food,516.0,Bank Transfer,Mumbai,Gift,T06420,INR,False
T09600,U099,2022-10-20,Expense,Rent,731.0,Bank Transfer,Delhi,Salary late,T09600,INR,False
T05845,U096,2019-03-15,Expense,Food,388.0,Bank Transfer,Bengaluru,Netflix subscription,T05845,INR,False
T09062,U185,2022-02-09,Expense,Rent,418.0,Bank Transfer,mumbai,Paid electricity bill cash,T09062,INR,False
T11610,U102,2019-07-31,Income,Other Income,54548.0,UPI,Mumbai,Salary cash,T11610,INR,False
T11709,U028,2020-11-28,Expense,Rent,201.0,Cash,Bengaluru,Doctor visit via app,T11709,INR,False
T07464,U043,2020-02-18,Expense,Food,999999.0,Card,Delhi,,T07464,USD,False
T07338,U071,2019-07-06,Income,Bonus,68463.0,Cash,lucknow,zhjquyI3MwYbP4rQr9,T07338,INR,True
T00082,U163,2021-07-26,Expense,Food,1325.0,Card,Jaipur,Dinner at resto,T00082,INR,False
T08610,U147,2019-04-14,Expense,Food,8096.0,Cash,Jaipur,Course fee,T08610,INR,False
T08325,U164,2019-07-29,Expense,Rent,194.0,Bank Transfer,Bengaluru,Dinner at resto,T08325,USD,False
T03004,U039,2020-10-07,Expense,Rent,1706.0,Bank Transfer,Lucknow,Doctor visit,T03004,INR,False
T01792,U095,2020-01-24,Expense,Food,20.0,UPI,Kolkata,Gift via app,T01792,INR,False
T07169,U054,2022-03-29,Expense,Rent,424.0,UPI,Jaipur,Grocery shopping via app,T07169,INR,False
T12842,U146,2020-10-21,Expense,Others,2364.0,Card,Mumbai,Salary,T12842,INR,False
T01961,U039,2021-01-07,Expense,Food,183.0,UPI,Mumbai,,T01961,INR,False
T01299,U062,2019-07-19,Expense,Food,594.0,Bank Transfer,Bengaluru,Netflix subscription,T01299,INR,False
T03989,U113,2019-06-27,Expense,Food,239.0,Card,Jaipur,Paid electricity bill cash,T03989,INR,False
T13134,U158,2020-04-17,Income,Other Income,48427.0,UPI,Hyderabad,Uber to office,T13134,INR,False
T10795,U116,2020-08-28,Expense,Food,287.0,Bank Transfer,Bengaluru,Dinner at resto ,T10795,INR,False
T02251-1,U136,2022-01-12,Expense,Rent,709.0,Card,Ahmedabad,Course fee late,T02251,INR,False
T04812,U129,2020-12-12,Expense,Entertainment,4518.0,Card,Lucknow,Netflix subscription,T04812,INR,False
T11426,U069,2020-08-15,Expense,Food,512.0,Cash,Jaipur,9mR8zTIgFl,T11426,INR,False
T01546,U141,2019-04-12,Expense,Travel,335.0,Bank Transfer,Hyderabad,Doctor visit,T01546,USD,False
T11648,U102,2021-08-06,Expense,Others,1952.0,Cash,Lucknow,Gift,T11648,INR,False
T03610,U010,2019-05-24,Income,Bonus,39902.0,UPI,Jaipur,Paid electricity bill late,T03610,INR,False
T04796,U055,2021-06-28,Expense,Rent,255.0,UPI,Chennai,Netflix subscription,T04796,INR,False
T14447,U186,2019-09-16,Expense,Food,964.0,Card,Bengaluru,Salary,T14447,USD,False
T01971,U168,2020-10-22,Income,Salary,67136.0,Bank Transfer,Ahmedabad,Monthly rent,T01971,INR,False
T11440,U081,2019-11-01,Expense,Rent,-1049.0,Bank Transfer,Delhi,Grocery shopping ,T11440,INR,False
T04580,U137,2022-02-01,Expense,Rent,2070.0,Card,Pune,Doctor visit,T04580,INR,False
T08563,U115,2022-10-19,Expense,Utilities,730.0,Card,Mumbai,Uber to office via app,T08563,INR,False
T02867,U047,2019-02-15,Expense,Education,970.0,Cash,Lucknow,Dinner at resto,T02867,INR,False
T14631,U184,2021-03-27,Expense,Utilities,101.0,Cash,Jaipur,Course fee,T14631,INR,False
T13312,U127,2020-10-11,Expense,Travel,480.0,Bank Transfer,Pune,Netflix subscription,T13312,INR,False
T03414,U103,2020-10-29,Expense,Travel,49.0,Bank Transfer,Lucknow,Course fee,T03414,INR,False
T01292,U136,2020-10-19,Expense,Rent,18.0,Cash,Hyderabad,Paid electricity bill,T01292,INR,False
T13881,U165,2019-02-03,Expense,Entertainment,908.0,Card,Chennai,Monthly rent,T13881,INR,False
T14170,U095,2022-07-03,Expense,Travel,1701.0,Cash,Kolkata,Salary,T14170,INR,False
T02412,U093,2021-11-18,Expense,Food,1328.0,Card,Kolkata,Paid electricity bill,T02412,INR,False
T13217,U048,2021-05-18,Expense,Food,412.0,UPI,Kolkata,iu2HPMFwQ3ZsxQWTV25,T13217,INR,True
T06670,U182,2019-01-23,Expense,Food,4204.0,Card,Ahmedabad,,T06670,INR,False
T13829,U025,2019-01-27,Expense,Savings,284.0,Card,DELHI,Dinner at resto,T13829,INR,False
T08053,U134,2021-12-13,Expense,Rent,2016.0,Card,Ahmedabad,Monthly rent,T08053,INR,False
T12635,U060,2021-07-28,Income,Other Income,64138.0,Bank Transfer,Jaipur,Monthly rent via app,T12635,INR,False
T13323,U122,2022-03-27,Expense,Travel,1741.0,Card,Lucknow,Course fee via app,T13323,INR,False
T02261,U172,2021-05-02,Income,Salary,77659.0,Card,AHMEDABAD,Dinner at resto,T02261,INR,False
T02196,U090,2022-05-31,Expense,Food,448.0,Bank Transfer,Kolkata,Uber to office late,T02196,INR,False
T08791,U179,2019-11-12,Expense,Food,299.0,Bank Transfer,Jaipur,Dinner at resto,T08791,INR,False
T09528,U142,2022-01-10,Income,Other Income,75061.0,UPI,Mumbai,Salary,T09528,INR,False
T12537,U162,2019-08-24,Income,Bonus,59042.0,UPI,Lucknow,Paid electricity bill,T12537,INR,False
T14935,U174,2020-02-23,Expense,Education,1152.0,UPI,Kolkata,Doctor visit ,T14935,USD,False
